ID,Entrance_LAT,Entrance_LON,Entrance_TIMESTAMP,Exit_LAT,Exit_LON,Exit_TIMESTAMP,Entrance_HWY,Exit_HWY
User6,38.190429,-122.60122,1571297220000,38.359,-122.712929,1571297940000,Hwy 101,Hwy 101
User6,38.445003,-122.723829,1571358780000,38.352048,-122.713358,1571359500000,Hwy 101,Hwy 12
User6,38.353893,-122.713229,1571435640000,38.246777,-122.627742,1571436300000,Hwy 101,Hwy 101
User6,38.185536,-122.60156299999998,1571453100000,38.359558,-122.712972,1571454120000,Hwy 101,Hwy 101
User6,38.363335,-122.712843,1571600340000,38.284499,-122.686278,1571601000000,Hwy 101,Hwy 101
User6,38.355953,-122.713186,1571625240000,38.189356,-122.601735,1571626200000,Hwy 101,Hwy 101
User6,38.445475,-122.724215,1571704260000,38.3696,-122.713143,1571704920000,Hwy 101,Hwy 101
User6,38.44817800000001,-122.72498799999998,1571876580000,38.361704,-122.713358,1571878020000,Hwy 101,Hwy 101
User6,38.360846,-122.713358,1572635280000,38.185493,-122.601692,1572636060000,Hwy 101,Hwy 101
User6,38.451526,-122.725932,1572990780000,38.364107,-122.713057,1572991620000,Hwy 101,Hwy 101
User6,38.345396,-122.7131,1573269840000,38.185579,-122.601735,1573270560000,Hwy 101,Hwy 101
User6,38.18721,-122.601735,1573328820000,38.229224,-122.615683,1573329420000,Hwy 101,Hwy 101
User6,38.229653000000006,-122.61594,1573329480000,38.311064,-122.714045,1573330500000,Hwy 101,Hwy 101
User7,38.377583,-122.716147,1571759760000,38.428008,-122.768375,1571760420000,Hwy 101,Hwy 12
User7,38.366253,-122.712156,1571935620000,38.45925,-122.67349,1571936460000,Hwy 101,Hwy 12
User8,38.458864,-122.674992,1571687760000,38.46491500000001,-122.65362,1571688360000,Hwy 12,Hwy 12
User8,38.349902,-122.713057,1571773740000,38.516285,-122.781164,1571774460000,Hwy 101,Hwy 101
User8,38.849308,-123.029515,1571859360000,38.237893,-122.62036,1571862000000,Hwy 101,Hwy 101
User8,38.18854,-122.601692,1571869560000,38.490922,-122.748634,1571873520000,Hwy 101,Hwy 101
User8,38.465087,-122.657139,1572714000000,38.384621,-122.81266399999998,1572715560000,Hwy 12,Hwy 116
User8,38.380887,-122.804424,1572728400000,38.331577,-122.715547,1572729120000,Hwy 116,Hwy 116
User8,38.331577,-122.715203,1572729180000,38.19545,-122.599976,1572729960000,Hwy 116,Hwy 101
User8,38.197252,-122.59928899999998,1572798840000,38.497703,-122.758934,1572805260000,Hwy 101,Hwy 101
User8,38.485944,-122.742111,1573501680000,38.364536,-122.712929,1573502280000,Hwy 101,Hwy 101
User8,38.331663,-122.715032,1573513260000,38.491351,-122.749192,1573514220000,Hwy 116,Hwy 101
User9,38.544824,-122.806999,1571323860000,38.196523,-122.599632,1571326140000,Hwy 101,Hwy 101
User9,38.599798,-122.861502,1571691720000,38.530018,-122.79391,1571698020000,Hwy 101,Hwy 101
User9,38.464314,-122.726833,1571955540000,38.496415,-122.756488,1571960280000,Hwy 101,Hwy 101
User9,38.374793,-122.716104,1572144900000,38.200342,-122.598903,1572146580000,Hwy 101,Hwy 101
User9,38.253643,-122.640702,1572499860000,38.469808,-122.728979,1572500700000,Hwy 101,Hwy 101
User10,38.594176,-122.851331,1572517380000,38.252055,-122.637269,1572537960000,Hwy 101,Hwy 101
User10,38.251969,-122.637355,1572538320000,38.594176,-122.851331,1572542460000,Hwy 101,Hwy 101
User10,38.594176,-122.851331,1572542580000,38.250081,-122.63426499999998,1572563160000,Hwy 101,Hwy 101
User10,38.610055,-122.875964,1572717540000,38.331406,-122.714045,1572724920000,Hwy 101,Hwy 116
User10,38.35561,-122.712972,1572807240000,38.491566,-122.749578,1572809580000,Hwy 101,Hwy 101
User10,38.491566,-122.749578,1572809760000,38.610012,-122.875921,1572810540000,Hwy 101,Hwy 101
User10,38.610012,-122.875921,1573075440000,38.406894,-122.716019,1573096080000,Hwy 101,Hwy 101
User10,38.610055,-122.875964,1573116000000,38.406894,-122.716019,1573124940000,Hwy 101,Hwy 101
User10,38.610055,-122.875964,1573144800000,38.464014,-122.726576,1573154520000,Hwy 101,Hwy 101
User10,38.449852,-122.72619,1573300260000,38.594176,-122.851331,1573300920000,Hwy 101,Hwy 101
User10,38.464787,-122.655637,1573566780000,38.43157,-122.710611,1573568100000,Hwy 12,Hwy 12
User10,38.464787,-122.655637,1573595580000,38.431527,-122.710611,1573596900000,Hwy 12,Hwy 12
User10,38.484613,-122.739408,1573643520000,38.610012,-122.875921,1573645800000,Hwy 101,Hwy 101
User11,38.27342700000001,-122.671945,1572277500000,38.15571,-122.412865,1572279300000,Hwy 101,Hwy 37
User11,38.155238,-122.417714,1572308580000,38.339173,-122.712371,1572310380000,Hwy 37,Hwy 101
User12,38.534352,-122.797515,1571508780000,38.155024,-122.419731,1571511420000,Hwy 101,Hwy 37
User12,38.155753,-122.407758,1571523120000,38.534266,-122.797343,1571526780000,Hwy 37,Hwy 101
User12,38.477876,-122.73267,1571870580000,38.48611500000001,-122.741982,1571872620000,Hwy 101,Hwy 101
